rank-1,rank-5,rank-10,rank-15,rank-20,rank-25,mAP
0.99,1.00,1.00,1.00,1.00,1.00,0.94
0.98,0.98,0.98,0.98,0.99,0.99,0.96
1.00,1.00,1.00,1.00,1.00,1.00,0.97
1.00,1.00,1.00,1.00,1.00,1.00,0.97
1.00,1.00,1.00,1.00,1.00,1.00,0.98
1.00,1.00,1.00,1.00,1.00,1.00,0.98
0.98,1.00,1.00,1.00,1.00,1.00,0.98
0.99,1.00,1.00,1.00,1.00,1.00,0.98
