rank-1,rank-5,rank-10,rank-15,rank-20,rank-25,mAP,,,
0.99,1,1,1,1,1,0.94,,,
0.98,0.98,0.98,0.98,0.99,0.99,0.96,,,
1,1,1,1,1,1,0.97,,,
1,1,1,1,1,1,0.97,,,
1,1,1,1,1,1,0.98,,,
1,1,1,1,1,1,0.98,,,
0.98,1,1,1,1,1,0.98,,,
0.99,1,1,1,1,1,0.98,,,
,,,,,,,,,
,,,,,,,,,
rank-1,0.99,0.98,1,1,1,1,0.98,0.99,0.9925
rank-5,1,0.98,1,1,1,1,1,1,0.9975
rank-10,1,0.98,1,1,1,1,1,1,0.9975
rank-15,1,0.98,1,1,1,1,1,1,0.9975
rank-20,1,0.99,1,1,1,1,1,1,0.99875
rank-25,1,0.99,1,1,1,1,1,1,0.99875
